player_name,player_image_url,0,1,2,3,4,5,6,7,8,9,10
Shawn Kemp,https://www.basketball-reference.com/req/202105201/images/players/kempsh01.jpg,0,10,29,37,49,66,94,111,133,154,173
Sam Perkins,https://www.basketball-reference.com/req/202105201/images/players/perkisa01.jpg,0,26,40,54,75,85,103,118,147,155,173
John Drew,https://www.basketball-reference.com/req/202105201/images/players/drewjo01.jpg,0,25,52,67,92,100,114,127,147,151,173
Anfernee Hardaway,https://www.basketball-reference.com/req/202105201/images/players/hardaan01.jpg,0,12,43,56,66,92,108,118,134,154,173
Isaiah Rider,,0,7,25,37,53,78,102,120,130,155,172
Dario Šarić,https://www.basketball-reference.com/req/202105201/images/players/saricda01.jpg,0,20,43,64,75,83,95,109,120,145,172
Carl Braun,https://www.basketball-reference.com/req/202105201/images/players/braunca01.jpg,0,10,24,30,51,71,87,101,131,146,172
Boris Diaw,https://www.basketball-reference.com/req/202105201/images/players/diawbo01.jpg,0,15,28,42,63,88,107,128,147,161,172
Albert King,,0,15,40,57,82,98,113,127,147,162,172
Slick Leonard,https://www.basketball-reference.com/req/202105201/images/players/leonasl01.jpg,0,15,34,47,65,107,117,133,150,159,171
Rudy Gay,https://www.basketball-reference.com/req/202105201/images/players/gayru01.jpg,0,19,40,64,87,101,114,133,148,160,171
Ron Brewer,,0,26,47,53,77,104,110,128,149,167,171
Mike Newlin,https://www.basketball-reference.com/req/202105201/images/players/newlimi01.jpg,0,18,26,40,42,50,76,107,130,154,170
Lionel Hollins,https://www.basketball-reference.com/req/202105201/images/players/hollili01.jpg,0,12,33,49,55,75,87,105,124,145,170
Vernon Maxwell,,0,20,44,70,79,91,122,135,138,151,169
Johnny Newman,,0,8,17,51,76,91,111,128,155,169,169
Gordon Hayward,https://www.basketball-reference.com/req/202105201/images/players/haywago01.jpg,0,17,25,29,29,48,68,108,111,138,169
Roy Tarpley,https://www.basketball-reference.com/req/202105201/images/players/tarplro01.jpg,0,25,39,41,53,77,100,117,123,141,168
Klay Thompson,https://www.basketball-reference.com/req/202105201/images/players/thompkl01.jpg,0,22,43,49,62,81,88,107,141,158,168
Fred Schaus,https://www.basketball-reference.com/req/202105201/images/players/schaufr01.jpg,0,11,21,41,74,84,105,117,133,148,168
Andrés Nocioni,https://www.basketball-reference.com/req/202105201/images/players/nocioan01.jpg,0,25,35,47,52,55,77,95,125,144,168
Wayne Embry,https://www.basketball-reference.com/req/202105201/images/players/embrywa01.jpg,0,22,36,44,56,74,93,117,129,145,167
John Wall,https://www.basketball-reference.com/req/202105201/images/players/walljo01.jpg,0,16,32,55,70,94,107,113,128,140,167
Jason Terry,https://www.basketball-reference.com/req/202105201/images/players/terryja01.jpg,0,17,32,45,77,90,97,128,141,153,167
Glenn Robinson,https://www.basketball-reference.com/req/202105201/images/players/robingl01.jpg,0,16,39,62,73,84,110,128,139,153,167
Chris Morris,https://www.basketball-reference.com/req/202105201/images/players/morrich01.jpg,0,18,25,53,75,83,103,117,139,160,167
Rex Chapman,,0,10,21,27,69,87,110,132,148,164,166
Luol Deng,https://www.basketball-reference.com/req/202105201/images/players/denglu01.jpg,0,6,20,41,45,49,61,94,120,144,166
Jrue Holiday,https://www.basketball-reference.com/req/202105201/images/players/holidjr01.jpg,0,19,31,51,61,71,87,113,130,150,166
Dolph Schayes,https://www.basketball-reference.com/req/202105201/images/players/schaydo01.jpg,0,5,21,47,61,85,104,117,129,147,166
Rasheed Wallace,https://www.basketball-reference.com/req/202105201/images/players/wallara01.jpg,0,18,38,58,79,97,109,120,137,144,165
Kendall Gill,https://www.basketball-reference.com/req/202105201/images/players/gillke01.jpg,0,30,48,60,78,88,103,109,130,156,165
Jamaal Wilkes,https://www.basketball-reference.com/req/202105201/images/players/wilkeja01.jpg,0,11,28,36,58,82,102,128,144,162,165
Eddie Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnsed02.jpg,0,15,31,40,65,79,96,104,124,143,165
Billy Owens,,0,25,41,56,77,104,118,136,145,157,165
Magic Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnsma02.jpg,0,13,38,50,58,77,96,115,129,144,164
Walt Frazier,https://www.basketball-reference.com/req/202105201/images/players/fraziwa01.jpg,0,2,27,36,38,64,87,113,120,154,163
Shai Gilgeous-Alexander,https://www.basketball-reference.com/req/202105201/images/players/gilgesh01.jpg,0,18,22,29,54,60,82,91,122,145,163
Reggie King,,0,8,10,25,37,50,78,93,113,142,163
Josh Smith,https://www.basketball-reference.com/req/202105201/images/players/smithjo03.jpg,0,6,19,46,74,92,103,110,133,150,163
Bob Dandridge,https://www.basketball-reference.com/req/202105201/images/players/dandrbo01.jpg,0,17,39,57,74,95,107,121,143,161,163
Ben Simmons,https://www.basketball-reference.com/req/202105201/images/players/simmobe01.jpg,0,17,41,60,77,91,109,110,126,145,163
Kenyon Martin,https://www.basketball-reference.com/req/202105201/images/players/martike01.jpg,0,15,34,55,68,97,107,122,135,148,162
Arnie Risen,https://www.basketball-reference.com/req/202105201/images/players/risenar01.jpg,0,14,28,45,66,72,89,103,119,138,162
Nick Anderson,https://www.basketball-reference.com/req/202105201/images/players/anderni01.jpg,0,13,35,43,63,71,95,103,123,139,161
Larry Foust,https://www.basketball-reference.com/req/202105201/images/players/foustla01.jpg,0,14,26,35,52,65,82,106,124,140,161
Lamar Odom,https://www.basketball-reference.com/req/202105201/images/players/odomla01.jpg,0,17,30,48,73,89,98,114,126,145,161
LaPhonso Ellis,,0,12,30,34,61,80,91,111,136,153,161
Jim McMillian,https://www.basketball-reference.com/req/202105201/images/players/mcmilji01.jpg,0,26,50,73,87,98,114,127,137,143,161
Jamal Crawford,https://www.basketball-reference.com/req/202105201/images/players/crawfja01.jpg,0,17,22,33,54,65,89,111,116,139,161
Elmore Smith,https://www.basketball-reference.com/req/202105201/images/players/smithel01.jpg,0,16,32,62,82,96,112,128,140,157,161
Tobias Harris,https://www.basketball-reference.com/req/202105201/images/players/harrito02.jpg,0,9,22,35,58,62,81,110,134,146,160
Rudy LaRusso,https://www.basketball-reference.com/req/202105201/images/players/larusru01.jpg,0,18,37,53,70,87,101,114,121,139,160
Marc Gasol,https://www.basketball-reference.com/req/202105201/images/players/gasolma01.jpg,0,24,36,53,62,73,85,105,118,134,160
Kevin Love,https://www.basketball-reference.com/req/202105201/images/players/loveke01.jpg,0,19,32,55,57,85,101,121,132,149,160
Calvin Natt,https://www.basketball-reference.com/req/202105201/images/players/nattca01.jpg,0,15,42,48,65,74,80,95,113,134,160
Billy Ray Bates,,0,29,49,75,100,126,160,160,160,160,160
Robert Reid,https://www.basketball-reference.com/req/202105201/images/players/reidro01.jpg,0,13,20,30,46,66,81,103,126,146,159
Rickey Green,https://www.basketball-reference.com/req/202105201/images/players/greenri01.jpg,0,25,38,53,70,99,106,118,125,136,159
Mike Conley,https://www.basketball-reference.com/req/202105201/images/players/conlemi01.jpg,0,15,28,42,57,77,86,101,125,143,159
Micheal Ray Richardson,https://www.basketball-reference.com/req/202105201/images/players/richami01.jpg,0,9,23,34,42,60,92,108,121,145,159
Harrison Barnes,https://www.basketball-reference.com/req/202105201/images/players/barneha02.jpg,0,8,32,51,55,78,89,108,121,133,159
Alvan Adams,https://www.basketball-reference.com/req/202105201/images/players/adamsal01.jpg,0,16,39,53,70,81,91,110,123,140,159
Vin Baker,https://www.basketball-reference.com/req/202105201/images/players/bakervi01.jpg,0,25,33,50,63,74,85,98,118,130,158
Gus Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnsgu01.jpg,0,16,26,45,63,79,106,121,141,150,158
Gene Shue,https://www.basketball-reference.com/req/202105201/images/players/shuege01.jpg,0,6,9,22,40,54,79,94,123,139,158
Flynn Robinson,,0,0,18,42,50,56,88,129,137,151,158
Dave Cowens,https://www.basketball-reference.com/req/202105201/images/players/cowenda01.jpg,0,23,34,46,67,76,102,108,123,146,158
Bailey Howell,https://www.basketball-reference.com/req/202105201/images/players/howelba01.jpg,0,29,34,37,47,58,73,90,118,131,158
Andre Miller,https://www.basketball-reference.com/req/202105201/images/players/millean02.jpg,0,12,24,43,56,77,108,119,131,142,158
Spencer Haywood,https://www.basketball-reference.com/req/202105201/images/players/haywosp01.jpg,0,22,32,49,63,91,107,122,133,141,157
